ID;EXTERNAL_CODE;EXTERNAL_ID;NAME;FEATURES;PRICE;BARCODE;VENDOR_CODE;NDS;PAYMENT_SUBJECT;GROUP;UNIT_CODE;PURCHASE_PRICE;WEIGHTED;ALCOHOL;GTIN;MARK_TYPE;GROUPED;CONTAINER;MODIFIERS;INGREDIENTS;GOOD_TYPE;CONTRACTOR_INN;CONTRACTOR_ACTIVITY_TYPE;COUNTY_CODE;CUSTOM_DECLARATION;PLU_CODE;ORG_MEMBER_POINTS
;3066686;;Вода Vittel столов.минер.б/г ст/бут.0,5л;;124.0;;;;1;;796;81.61;;;;0;;;;;DEFAULT;;;;;;
;3066690;;Вода Vittel столов.минер.б/газ 0,5л;;75.54;;;;1;;796;57.89;;;;0;;;;;DEFAULT;;;;;;
;3066688;;Вода Vittel столовая минеральн.б/г 1,5 л;;113.71;;;;1;;796;89.36;;;;0;;;;;DEFAULT;;;;;;
;3205809;;Вода Volvic минеральная питье.стол.1,5л;;204.0;;;;1;;796;150.7;;;;0;;;;;DEFAULT;;;;;;
;3264867;;Вода Арджи минерал.леч.стол.газ0,5л ст;;53.55;;;;1;;796;39.87;;;;0;;;;;DEFAULT;;;;;;
;3234443;;Вода Архыз минеральная негаз.2*5л;;197.56;;;;1;;796;147.91;;;;0;;;;;DEFAULT;;;;;;
;3261648;;Вода БонАква газированная 1,5 л;;51.32;;;;1;;796;33.54;;;;0;;;;;DEFAULT;;;;;;
;3261649;;Вода БонАква негазированная 1,5 л;;52.34;;;;1;;796;32.96;;;;0;;;;;DEFAULT;;;;;;
;3224688;;Вода ГАЗ. Архыз  минерал 6*1,5л;;298.88;;;;1;;796;209.73;;;;0;;;;;DEFAULT;;;;;;
;3171669;;Вода Джермук мин.леч.стол.газ.1л ПЭТ;;94.65;;;;1;;796;73.0;;;;0;;;;;DEFAULT;;;;;;
;3112610;;Вода Джермук мин.природная газ.0,5л ст;;79.74;;;;1;;796;59.23;;;;0;;;;;DEFAULT;;;;;;
;3221163;;Вода ЕМВ Ессентуки №17мин.леч.газ.0,5л;;23.15;;;;1;;796;18.1;;;;0;;;;;DEFAULT;;;;;;
;3221161;;Вода ЕМВ Ессентуки №17мин.леч.газ.1,5л;;23.28;;;;1;;796;18.34;;;;0;;;;;DEFAULT;;;;;;
;3221148;;Вода ЕМВ Ессентуки №4мин.леч.ст.газ.0,5л;;23.21;;;;1;;796;18.07;;;;0;;;;;DEFAULT;;;;;;
;3221150;;Вода ЕМВ Ессентуки №4мин.леч.ст.газ.1,5л;;23.39;;;;1;;796;18.25;;;;0;;;;;DEFAULT;;;;;;
;3221166;;Вода ЕМВ Славяновская мин.леч.газ.0,5л;;23.24;;;;1;;796;18.09;;;;0;;;;;DEFAULT;;;;;;
;3221169;;Вода ЕМВ Славяновская мин.леч.газ.1,5л;;23.3;;;;1;;796;18.29;;;;0;;;;;DEFAULT;;;;;;
;3221207;;Вода ЕМВ Смирновская мин.леч.ст.газ1,5л;;23.27;;;;1;;796;18.32;;;;0;;;;;DEFAULT;;;;;;
;3074428;;Вода Ессентуки №17 минер.газ.0,54л;;48.07;;;;1;;796;34.41;;;;0;;;;;DEFAULT;;;;;;
;3074434;;Вода Ессентуки №17 минер.газ.1,5л;;66.52;;;;1;;796;52.28;;;;0;;;;;DEFAULT;;;;;;
;3045477;;Вода Ессентуки №4 минер.газ. 0,54л;;47.79;;;;1;;796;35.05;;;;0;;;;;DEFAULT;;;;;;
;3045479;;Вода Ессентуки №4 минер.газ.1,5л;;65.56;;;;1;;796;52.37;;;;0;;;;;DEFAULT;;;;;;
;3257121;;Вода Источник Здоровой Жиз.пит.негаз0,6л;;18.37;;;;1;;796;13.15;;;;0;;;;;DEFAULT;;;;;;
;3256770;;Вода Источник Здоровой Жиз.пит.негаз1,5л;;22.09;;;;1;;796;19.39;;;;0;;;;;DEFAULT;;;;;;
;3256436;;Вода Источник Здоровой Жизни пит.негаз3л;;54.85;;;;1;;796;36.8;;;;0;;;;;DEFAULT;;;;;;
;3256437;;Вода Источник Здоровой Жизни пит.негаз5л;;58.23;;;;1;;796;43.82;;;;0;;;;;DEFAULT;;;;;;
;3080332;;Вода Калинов Родник артезиан.негаз.6л;;71.6;;;;1;;796;47.26;;;;0;;;;;DEFAULT;;;;;;
;3087671;;Вода Калинов Родник артезиан.негаз.9л;;97.87;;;;1;;796;67.73;;;;0;;;;;DEFAULT;;;;;;
;3071008;;Вода Калинов родник минер.газир.2л;;38.18;;;;1;;796;21.0;;;;0;;;;;DEFAULT;;;;;;
;3071021;;Вода Калинов родник минер.стол.газ.0,5л;;22.33;;;;1;;796;13.21;;;;0;;;;;DEFAULT;;;;;;
;3071010;;Вода Калинов родник прир.артез.н/г 0,5л;;22.33;;;;1;;796;13.21;;;;0;;;;;DEFAULT;;;;;;
;3071005;;Вода Калинов родник природ.артез.н/г 2л;;38.1;;;;1;;796;20.99;;;;0;;;;;DEFAULT;;;;;;
;3045414;;Вода Кармадон Ариана минерал.газ.1,5л;;56.73;;;;1;;796;41.6;;;;0;;;;;DEFAULT;;;;;;
;3230864;;Вода Липецкий Бювет мин.леч.ст.г 12*0,5л;;270.44;;;;1;;796;200.05;;;;0;;;;;DEFAULT;;;;;;
;3230859;;Вода Липецкий Бювет мин.леч.ст.газ6*1,5л;;226.65;;;;1;;796;155.81;;;;0;;;;;DEFAULT;;;;;;
;3234464;;Вода Липецкий Бювет негаз.артезиан.2*5л;;177.99;;;;1;;796;132.1;;;;0;;;;;DEFAULT;;;;;;
;3230860;;Вода Липецкий Бювет пит.арт.н/газ.6*1,5л;;227.2;;;;1;;796;155.87;;;;0;;;;;DEFAULT;;;;;;
;3230863;;Вода Липецкий Бювет пит.арт.н/газ12*0,5л;;270.48;;;;1;;796;200.05;;;;0;;;;;DEFAULT;;;;;;
;3208463;;Вода Нарзан минеральная газ.1л;;68.89;;;;1;;796;49.27;;;;0;;;;;DEFAULT;;;;;;
;3051911;;Вода Нарзан минеральная природн.газ.1,8л;;83.1;;;;1;;796;55.76;;;;0;;;;;DEFAULT;;;;;;
;3045230;;Вода Нарзан минеральная природной газ.1л;;68.71;;;;1;;796;48.9;;;;0;;;;;DEFAULT;;;;;;
;3045233;;Вода Нарзан прир.мин.нат.газ.0,5л стекло;;62.92;;;;1;;796;36.94;;;;0;;;;;DEFAULT;;;;;;
;3208467;;Вода Нарзан прир.мин.нат.газац.0,5л;;36.11;;;;1;;796;26.96;;;;0;;;;;DEFAULT;;;;;;
